"Post title","Post slug","Blog URL","Image type","Original WordPress URL","Matched upload filename","New local image path","Match method","Match confidence","Replacement status","Notes"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","inline","","","/assests/about/modern-home-solar-panels.webp","Preserved existing inline image","temporary","Preserved","Inline image content/order unchanged"
"The Ultimate Guide to Solar Panel and Battery Systems in Australia","solar-panel-and-battery","/solar-panel-and-battery/","featured","","Solar-Panel-Battery.webp","/assets/blog/solar-panel-and-battery/featured.webp","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"Best Solar Panels Sydney (2025 Comprehensive Guide)","best-solar-panels-sydney","/best-solar-panels-sydney/","featured","","residential-solar-panel.png","/assets/blog/best-solar-panels-sydney/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"How Much Cost to Install Solar Panels in Australia: A Complete Guide","how-much-cost-to-install-solar-panels","/how-much-cost-to-install-solar-panels/","featured","","Solar-Panel-installation.png","/assets/blog/how-much-cost-to-install-solar-panels/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"Solar Battery Cost","solar-battery-cost","/solar-battery-cost/","featured","","Solar-Panel-Battery.webp","/assets/blog/solar-battery-cost/featured.webp","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"Loan For Solar Panels","loan-for-solar-panels","/loan-for-solar-panels/","featured","","residential-solar-panel.png","/assets/blog/loan-for-solar-panels/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"Solar Panel Subsidy","solar-panel-subsidy","/solar-panel-subsidy/","featured","","Solar-Panel-Rebates.png","/assets/blog/solar-panel-subsidy/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"Cost of 13kw Solar System","cost-of-13kw-solar-system","/cost-of-13kw-solar-system/","featured","","5-kw-Solar-System.png","/assets/blog/cost-of-13kw-solar-system/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"Solar Panel Efficiency","solar-panel-efficiency","/solar-panel-efficiency/","featured","","Solar-Panel-Temperature-Coefficient.png","/assets/blog/solar-panel-efficiency/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"Solar Panel Cost","solar-panel-cost","/solar-panel-cost/","featured","","Cost-Savings-on-Energy-Bills.png","/assets/blog/solar-panel-cost/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"6.6kW solar system price NSW","6-6kw-solar-system-price-nsw","/6-6kw-solar-system-price-nsw/","featured","","5-kw-Solar-System.png","/assets/blog/6-6kw-solar-system-price-nsw/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"10kW vs 13kW solar system","10kw-vs-13kw-solar-system","/10kw-vs-13kw-solar-system/","featured","","5-kw-Solar-System.png","/assets/blog/10kw-vs-13kw-solar-system/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"10kW Solar Inverter","10kw-solar-inverter","/10kw-solar-inverter/","featured","","Inverters-Convert-The-Energy-To-Electricity.png","/assets/blog/10kw-solar-inverter/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"6.6kW vs 10kW solar system","6-6kw-vs-10kw-solar-system","/6-6kw-vs-10kw-solar-system/","featured","","5-kw-Solar-System.png","/assets/blog/6-6kw-vs-10kw-solar-system/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"How do you connect a solar panel to a battery","how-do-you-connect-a-solar-panel-to-a-battery","/how-do-you-connect-a-solar-panel-to-a-battery/","featured","","Solar-Panel-Battery.webp","/assets/blog/how-do-you-connect-a-solar-panel-to-a-battery/featured.webp","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"5kW Solar Inverter Price Australia","5kw-solar-inverter-price-australia","/5kw-solar-inverter-price-australia/","featured","","Inverters-Convert-The-Energy-To-Electricity.png","/assets/blog/5kw-solar-inverter-price-australia/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"Solar Panel Replacement","solar-panel-replacement","/solar-panel-replacement/","featured","","residential-solar-panel.png","/assets/blog/solar-panel-replacement/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"How to check solar panel output","how-to-check-solar-panel-output-2","/how-to-check-solar-panel-output-2/","featured","","Solar-Panel-Temperature-Coefficient.png","/assets/blog/how-to-check-solar-panel-output-2/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"Solar panel disadvantages","solar-panel-disadvantages","/solar-panel-disadvantages/","featured","","residential-solar-panel.png","/assets/blog/solar-panel-disadvantages/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"Govt rebate solar panels","govt-rebate-solar-panels","/govt-rebate-solar-panels/","featured","","Solar-Panel-Rebates.png","/assets/blog/govt-rebate-solar-panels/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"Cost of solar panels on a home","cost-of-solar-panels-on-a-home","/cost-of-solar-panels-on-a-home/","featured","","Cost-Savings-on-Energy-Bills.png","/assets/blog/cost-of-solar-panels-on-a-home/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"5kw off-grid solar system","5kw-off-grid-solar-system","/5kw-off-grid-solar-system/","featured","","previous verified match","/assets/blog/5kw-off-grid-solar-system/featured.jpg","Previous exact/verified match","exact","Replaced","Preserved verified original"
"how much power does 5kw system produce","how-much-power-does-5kw-system-produce","/how-much-power-does-5kw-system-produce/","featured","","previous verified match","/assets/blog/how-much-power-does-5kw-system-produce/featured.jpg","Previous exact/verified match","exact","Replaced","Preserved verified original"
"how many panels in a 5kw system","how-many-panels-in-a-5kw-system","/how-many-panels-in-a-5kw-system/","featured","","previous verified match","/assets/blog/how-many-panels-in-a-5kw-system/featured.jpg","Previous exact/verified match","exact","Replaced","Preserved verified original"
"how much power does a 10kw system produce","how-much-power-does-a-10kw-system-produce","/how-much-power-does-a-10kw-system-produce/","featured","","previous verified match","/assets/blog/how-much-power-does-a-10kw-system-produce/featured.jpg","Previous exact/verified match","exact","Replaced","Preserved verified original"
"what is a 10kw solar system","what-is-a-10kw-solar-system","/what-is-a-10kw-solar-system/","featured","","previous verified match","/assets/blog/what-is-a-10kw-solar-system/featured.jpg","Previous exact/verified match","exact","Replaced","Preserved verified original"
"how to install a 10kw solar system","how-to-install-a-10kw-solar-system","/how-to-install-a-10kw-solar-system/","featured","","previous verified match","/assets/blog/how-to-install-a-10kw-solar-system/featured.jpg","Previous exact/verified match","exact","Replaced","Preserved verified original"
"how many panels for 10kw system","how-many-panels-for-10kw-system","/how-many-panels-for-10kw-system/","featured","","previous verified match","/assets/blog/how-many-panels-for-10kw-system/featured.jpg","Previous exact/verified match","exact","Replaced","Preserved verified original"
"govt subsidies for 10kw system Australia","govt-subsidies-for-10kw-system-australia","/govt-subsidies-for-10kw-system-australia/","featured","","previous verified match","/assets/blog/govt-subsidies-for-10kw-system-australia/featured.jpg","Previous exact/verified match","exact","Replaced","Preserved verified original"
"best inverter for 10kw solar system","best-inverter-for-10kw-solar-system","/best-inverter-for-10kw-solar-system/","featured","","previous verified match","/assets/blog/best-inverter-for-10kw-solar-system/featured.jpg","Previous exact/verified match","exact","Replaced","Preserved verified original"
